,entname,is_bra,pledgenum,taxunpaidnum,priclasecam,is_bp,labels,tag
0,aca0938c5e3073680f88baa48f94f5e7,0,0,0,1,0,-1,2
1,c969689febcf011518d6ed2f1a86ec52,0,0,0,0.464,0,-1,2
397,dbf460223490cdb6ec229caded92f6c8,0,0,0,0,0.538461538,0,1
398,4967da702361c0a68869a47523acd8f3,0,0,0,0,0.461538462,0,1
399,e3b08219ec837a11dd94ea06ee1b8f92,0,0,0,0,0.461538462,0,1
14,1f9f98d0460032edca58ea90616495ee,0,0,0,0.018,0.384615385,0,1
400,4d1ea1801359fe550b8b69019127c83a,0,0,0,0,0.384615385,0,1
401,7a91b36acf1be124e83e69e54d31bcb9,0,0,0,0,0.384615385,0,1
402,89ce9ed9af0982c62bbc3a68368b79b3,0,0,0,0,0.384615385,0,1
403,b36293a9c8d8c6bb4ccb9e1563c0be9b,0,0,0,0,0.384615385,0,1
404,d84e78dc2993c46c56f4be8f36540beb,0,0,0,0,0.384615385,0,1
405,21fcbc9563cfb5e023227ed4b4c8d460,0,0,0,0,0.307692308,0,1
406,2f9b2714b4a7177fc51a45527f34d173,0,0,0,0,0.307692308,0,1
407,3614d7fd15b37a891df9125a7442a53c,0,0,0,0,0.307692308,0,1
409,48657a1373fdd1a48b2e8ba3bee3c96e,0,0,0,0,0.307692308,0,1
410,58c16a077ca21ccff344cd61ce75af51,0,0,0,0,0.307692308,0,1
411,5a72818fdcc3d2eeb290fbe0cb32fbcf,0,0,0,0,0.307692308,0,1
412,8a8c2c90072f1f73cfe520ac1ab36478,0,0,0,0,0.307692308,0,1
413,8ca5b41c33c66dc89474a27f461e44c5,0,0,0,0,0.307692308,0,1
415,009b3f2dbf037cc20325da7d93f34950,0,0,0,0,0.230769231,0,1
416,05060c759bddf24e6971a86f719a8d0a,0,0,0,0,0.230769231,0,1
417,07aa56b1e6d539defb6ece7707fc99ca,0,0,0,0,0.230769231,0,1
418,1c2e19e1d07594ab64fcebe8d7ff87c0,0,0,0,0,0.230769231,0,1
419,217628a7e408fa41e0ae9ea3be44d3da,0,0,0,0,0.230769231,0,1
420,2656bb61144ef05df01f3d2b7e39a462,0,0,0,0,0.230769231,0,1
421,2ba3c2c7dcc24f6de84fdf03c9547138,0,0,0,0,0.230769231,0,1
422,31e70737f40853d79fd7b7ed0c6a0525,0,0,0,0,0.230769231,0,1
423,374c51768bd9281d354382b13c2b80fa,0,0,0,0,0.230769231,0,1
424,3d8709c812aa612df2ae046fedd6f2d6,0,0,0,0,0.230769231,0,1
426,4614b869747b06004a831ebf78d283cb,0,0,0,0,0.230769231,0,1
427,500369af4e19206f356417950e78c221,0,0,0,0,0.230769231,0,1
428,59a4644cf5d852c1e165b7154bef6dcb,0,0,0,0,0.230769231,0,1
429,5f32d581a5a4031c0be443db5ecba3e0,0,0,0,0,0.230769231,0,1
430,5ffad3c172fea6481a259d45cae3d2fd,0,0,0,0,0.230769231,0,1
431,613a3c11ae229b59c16de19c2588671e,0,0,0,0,0.230769231,0,1
432,63ec760a565fde2899b551fa32a86b60,0,0,0,0,0.230769231,0,1
433,6adf5296b2f6a0529d1851bd1cece5c8,0,0,0,0,0.230769231,0,1
434,70688b471ea07e780ff54da66ba1c76f,0,0,0,0,0.230769231,0,1
435,709e796e34a21629f5d956b2ffc1ebaa,0,0,0,0,0.230769231,0,1
436,7b45151ffecfd527f4f7d4d7f3670d07,0,0,0,0,0.230769231,0,1
437,951d270cbef659f33bc8db49df495cb1,0,0,0,0,0.230769231,0,1
438,b6688e6b22e0c8b6f88c18bc3a468233,0,0,0,0,0.230769231,0,1
